condition,rank,feature,elastic_net_coefficient
original_radiomics,1,base__originalngtdmbusyness,0.021785950818597473
original_radiomics,2,base__wavelethlhfirstorderenergy,0.01906329706949761
original_radiomics,3,base__wavelethlhfirstordertotalenergy,0.016799772350646773
original_radiomics,4,base__wavelethhlfirstorderenergy,0.011658253049338478
original_radiomics,5,base__wavelethhhfirstorderenergy,0.010463242738246564
inner_ring_physical2mm,1,inner_ring__wavelet-HLH_gldm_DependenceNonUniformity,0.013225114456129953
inner_ring_physical2mm,2,inner_ring__wavelet-HHL_gldm_DependenceNonUniformity,0.01096248409090434
inner_ring_physical2mm,3,inner_ring__wavelet-HLH_glszm_SizeZoneNonUniformity,0.009745713790390648
inner_ring_physical2mm,4,inner_ring__wavelet-HLH_firstorder_Energy,0.00949006726560807
inner_ring_physical2mm,5,inner_ring__wavelet-HHH_glszm_GrayLevelNonUniformity,0.009315347395494594
inner_core_physical2mm,1,inner_core__wavelet-LHH_glcm_Correlation,-0.056909733435198284
inner_core_physical2mm,2,inner_core__wavelet-LHL_firstorder_Skewness,-0.051615172228025794
inner_core_physical2mm,3,inner_core__wavelet-HHH_glcm_MCC,0.03825218022601962
inner_core_physical2mm,4,inner_core__wavelet-HLH_firstorder_Energy,0.02762676331088729
inner_core_physical2mm,5,inner_core__wavelet-HLL_glszm_SizeZoneNonUniformity,0.02696376076877834
outer_ring_physical2mm,1,outer_ring__wavelet-LHH_glcm_Idn,0.02006309643400029
outer_ring_physical2mm,2,outer_ring__wavelet-HLL_firstorder_Kurtosis,0.011734331861082829
outer_ring_physical2mm,3,outer_ring__wavelet-HLH_glszm_SizeZoneNonUniformity,0.011694189241890564
outer_ring_physical2mm,4,outer_ring__wavelet-HHH_glszm_SizeZoneNonUniformity,0.010135747380665907
outer_ring_physical2mm,5,outer_ring__wavelet-HLH_firstorder_Energy,0.009083415172166579
inner_ring_physical3mm,1,inner_ring__wavelet-HLH_firstorder_Energy,0.017279261091085046
inner_ring_physical3mm,2,inner_ring__wavelet-HLH_glszm_SizeZoneNonUniformity,0.014699181803556179
inner_ring_physical3mm,3,inner_ring__wavelet-HLH_firstorder_TotalEnergy,0.014654814496908202
inner_ring_physical3mm,4,inner_ring__wavelet-HLH_gldm_DependenceNonUniformity,0.0137872662020065
inner_ring_physical3mm,5,inner_ring__wavelet-HHL_gldm_DependenceNonUniformity,0.012340729590463565
inner_core_physical3mm,1,inner_core__wavelet-HHH_firstorder_Energy,0.020551564309716094
inner_core_physical3mm,2,inner_core__wavelet-HLL_glszm_SizeZoneNonUniformity,0.02042226835278968
inner_core_physical3mm,3,inner_core__wavelet-HHL_firstorder_Energy,0.018521945252342846
inner_core_physical3mm,4,inner_core__wavelet-HLH_firstorder_Energy,0.01807832037251485
inner_core_physical3mm,5,inner_core__wavelet-HHH_firstorder_TotalEnergy,0.017602917775943278
outer_ring_physical3mm,1,outer_ring__wavelet-HHH_glszm_GrayLevelNonUniformityNormalized,-0.05415760936696145
outer_ring_physical3mm,2,outer_ring__wavelet-HLH_firstorder_Median,0.03608590560344308
outer_ring_physical3mm,3,outer_ring__wavelet-HLH_glszm_SizeZoneNonUniformity,0.035666980899240065
outer_ring_physical3mm,4,outer_ring__wavelet-HLH_firstorder_Energy,0.02766272379015133
outer_ring_physical3mm,5,outer_ring__wavelet-HHL_glcm_Imc2,-0.02653461322119976
inner_ring_physical5mm,1,inner_ring__wavelet-HLH_firstorder_Energy,0.016614500948510365
inner_ring_physical5mm,2,inner_ring__wavelet-HLH_glszm_SizeZoneNonUniformity,0.014822269602180109
inner_ring_physical5mm,3,inner_ring__wavelet-HLH_firstorder_TotalEnergy,0.014284823902368843
inner_ring_physical5mm,4,inner_ring__wavelet-HLH_gldm_DependenceNonUniformity,0.013037222001868529
inner_ring_physical5mm,5,inner_ring__wavelet-LHL_firstorder_Skewness,-0.012275753566553738
inner_core_physical5mm,1,inner_core__wavelet-HLL_glszm_SizeZoneNonUniformity,0.02773395834677683
inner_core_physical5mm,2,inner_core__wavelet-LHH_glrlm_LongRunHighGrayLevelEmphasis,0.027563642035188428
inner_core_physical5mm,3,inner_core__wavelet-HHL_glrlm_RunLengthNonUniformity,0.022042569150983304
inner_core_physical5mm,4,inner_core__wavelet-HHH_glrlm_RunLengthNonUniformity,0.01261420445745065
inner_core_physical5mm,5,inner_core__wavelet-LHH_glszm_SmallAreaHighGrayLevelEmphasis,0.008524503269563981
outer_ring_physical5mm,1,outer_ring__wavelet-LHH_glcm_Idmn,0.0337365836277247
outer_ring_physical5mm,2,outer_ring__wavelet-LHH_glcm_Idn,0.03109447261639219
outer_ring_physical5mm,3,outer_ring__wavelet-HLH_glszm_SizeZoneNonUniformity,0.01519092088908719
outer_ring_physical5mm,4,outer_ring__wavelet-LHH_firstorder_Maximum,0.011824578274540658
outer_ring_physical5mm,5,outer_ring__wavelet-HHL_gldm_DependenceNonUniformity,0.00970217293934004
