condition,rank,feature,elastic_net_coefficient
original_radiomics,1,base__originalngtdmbusyness,0.021785950818597473
original_radiomics,2,base__wavelethlhfirstorderenergy,0.01906329706949761
original_radiomics,3,base__wavelethlhfirstordertotalenergy,0.016799772350646773
original_radiomics,4,base__wavelethhlfirstorderenergy,0.011658253049338478
original_radiomics,5,base__wavelethhhfirstorderenergy,0.010463242738246564
original_radiomics,6,base__wavelethllfirstorderenergy,0.009993247232792388
original_radiomics,7,base__wavelethhlfirstordertotalenergy,0.009744683978333188
original_radiomics,8,base__wavelethhhfirstordertotalenergy,0.008532063031505227
original_radiomics,9,base__wavelethllfirstordertotalenergy,0.00812096906632308
original_radiomics,10,base__waveletlllngtdmbusyness,0.007911001401282314
inner_ring_physical2mm,1,inner_ring__wavelet-HLH_gldm_DependenceNonUniformity,0.013225114456129953
inner_ring_physical2mm,2,inner_ring__wavelet-HHL_gldm_DependenceNonUniformity,0.01096248409090434
inner_ring_physical2mm,3,inner_ring__wavelet-HLH_glszm_SizeZoneNonUniformity,0.009745713790390648
inner_ring_physical2mm,4,inner_ring__wavelet-HLH_firstorder_Energy,0.00949006726560807
inner_ring_physical2mm,5,inner_ring__wavelet-HHH_glszm_GrayLevelNonUniformity,0.009315347395494594
inner_ring_physical2mm,6,inner_ring__wavelet-HLL_gldm_DependenceNonUniformity,0.009189550957210321
inner_ring_physical2mm,7,inner_ring__wavelet-HHH_firstorder_Energy,0.008270373719308078
inner_ring_physical2mm,8,inner_ring__wavelet-HHH_gldm_DependenceNonUniformity,0.007126803655538601
inner_ring_physical2mm,9,inner_ring__wavelet-HHH_glszm_SizeZoneNonUniformity,0.006796542564569148
inner_ring_physical2mm,10,inner_ring__wavelet-HLH_firstorder_TotalEnergy,0.006790532609095075
inner_core_physical2mm,1,inner_core__wavelet-LHH_glcm_Correlation,-0.056909733435198284
inner_core_physical2mm,2,inner_core__wavelet-LHL_firstorder_Skewness,-0.051615172228025794
inner_core_physical2mm,3,inner_core__wavelet-HHH_glcm_MCC,0.03825218022601962
inner_core_physical2mm,4,inner_core__wavelet-HLH_firstorder_Energy,0.02762676331088729
inner_core_physical2mm,5,inner_core__wavelet-HLL_glszm_SizeZoneNonUniformity,0.02696376076877834
inner_core_physical2mm,6,inner_core__wavelet-LHH_firstorder_Median,-0.025297086994108795
inner_core_physical2mm,7,inner_core__wavelet-LHL_glcm_MCC,0.023460352396690427
inner_core_physical2mm,8,inner_core__wavelet-HLH_firstorder_TotalEnergy,0.0224322119294034
inner_core_physical2mm,9,inner_core__wavelet-HLH_glszm_SizeZoneNonUniformity,0.02193152269879599
inner_core_physical2mm,10,inner_core__wavelet-HHL_firstorder_Energy,0.019377990141275378
outer_ring_physical2mm,1,outer_ring__wavelet-LHH_glcm_Idn,0.02006309643400029
outer_ring_physical2mm,2,outer_ring__wavelet-HLL_firstorder_Kurtosis,0.011734331861082829
outer_ring_physical2mm,3,outer_ring__wavelet-HLH_glszm_SizeZoneNonUniformity,0.011694189241890564
outer_ring_physical2mm,4,outer_ring__wavelet-HHH_glszm_SizeZoneNonUniformity,0.010135747380665907
outer_ring_physical2mm,5,outer_ring__wavelet-HLH_firstorder_Energy,0.009083415172166579
outer_ring_physical2mm,6,outer_ring__wavelet-HHL_gldm_DependenceNonUniformity,0.00782903342281086
outer_ring_physical2mm,7,outer_ring__wavelet-HLH_gldm_DependenceNonUniformity,0.007291462486809401
outer_ring_physical2mm,8,outer_ring__wavelet-LHH_glcm_Idmn,0.0071911674548077184
outer_ring_physical2mm,9,outer_ring__wavelet-LLL_glcm_Imc1,0.007172958090814152
outer_ring_physical2mm,10,outer_ring__wavelet-HHH_glszm_GrayLevelNonUniformity,0.006568591035914988
inner_ring_physical3mm,1,inner_ring__wavelet-HLH_firstorder_Energy,0.017279261091085046
inner_ring_physical3mm,2,inner_ring__wavelet-HLH_glszm_SizeZoneNonUniformity,0.014699181803556179
inner_ring_physical3mm,3,inner_ring__wavelet-HLH_firstorder_TotalEnergy,0.014654814496908202
inner_ring_physical3mm,4,inner_ring__wavelet-HLH_gldm_DependenceNonUniformity,0.0137872662020065
